Daily_Time_Spent_on_Site,Age,Area_Income,Daily_Internet_Usage,Ad_Topic_Line,Gender,Country,Timestamp,Clicked_on_Ad,Continent,Parent_Country,Hour,Day
62.26,32,69481.85,172.83,Decentralized real-time circuit,Male,Svalbard & Jan Mayen Islands,2016-06-09 21:43:00,0,Europe,Norway,21:00,Thursday
41.73,31,61840.26,207.17,Optional full-range projection,Male,Singapore,2016-01-16 17:56:00,0,Asia,Singapore,17:00,Saturday
44.4,30,57877.15,172.83,Total 5thgeneration standardization,Female,Guadeloupe,2016-06-29 10:50:00,0,North America,Guadeloupe,10:00,Wednesday
59.88,28,56180.93,207.17,Balanced empowering success,Female,Zambia,2016-06-21 14:32:00,0,Africa,Zambia,14:00,Tuesday
49.21,30,54324.73,201.58,Total 5thgeneration standardization,Female,Qatar,2016-07-21 10:54:00,1,Asia,Qatar,10:00,Thursday
51.3,26,51463.17,131.68,Focused multi-state workforce,Female,Cameroon,2016-05-15 13:18:00,0,Africa,Cameroon,13:00,Sunday
66.08,43,73538.09,136.4,Optimized upward-trending productivity,Male,Turkey,2016-04-03 21:13:00,1,Asia,Turkey,21:00,Sunday
36.08,26,74903.41,228.78,Programmable uniform website,Male,French Guiana,2016-03-11 06:49:00,0,South America,French Guiana,06:00,Friday
46.14,33,43974.49,196.77,Customizable tangible hierarchy,Male,Vanuatu,2016-03-24 06:36:00,0,Oceania,Vanuatu,06:00,Thursday
51.65,51,74535.94,188.56,Function-based incremental standardization,Female,Cameroon,2016-01-31 05:12:00,0,Africa,Cameroon,05:00,Sunday
47.64,29,53431.35,200.71,Digitized content-based circuit,Female,Burundi,2016-03-09 00:41:00,0,Africa,Burundi,00:00,Wednesday
65.07,34,34191.23,187.09,Team-oriented transitional methodology,Male,Equatorial Guinea,2016-04-05 18:02:00,1,Africa,Equatorial Guinea,18:00,Tuesday
55.6,24,52252.91,167.22,Configurable disintermediate throughput,Female,Guinea,2016-06-11 06:47:00,1,Africa,Guinea,06:00,Saturday
62.26,25,50671.6,138.71,Intuitive radical forecast,Male,Hong Kong,2016-03-18 13:00:00,0,Asia,Hong Kong,13:00,Friday
78.84,27,69646.35,239.32,Front-line bandwidth-monitored capacity,Female,Spain,2016-05-21 01:36:00,0,Europe,Spain,01:00,Saturday
56.39,40,40468.53,140.46,Inverse zero-defect capability,Female,Uganda,2016-01-03 16:01:00,1,Africa,Uganda,16:00,Sunday
54.43,39,56180.93,124.44,Intuitive exuding service-desk,Female,Saint Pierre and Miquelon,2016-01-03 07:13:00,0,North America,Saint Pierre and Miquelon,07:00,Sunday
60.23,43,31092.93,234.26,Optimized upward-trending productivity,Male,Northern Mariana Islands,2016-04-03 21:13:00,1,Oceania,United States of America,21:00,Sunday
41.73,31,61840.26,207.17,User-friendly client-server instruction set,Male,Singapore,2016-06-21 14:32:00,0,Asia,Singapore,14:00,Tuesday
89.05,38,57868.44,170.13,Synergized clear-thinking protocol,Male,Western Sahara,2016-01-15 19:40:00,1,Africa,Western Sahara,19:00,Friday
56.39,46,54286.1,193.29,Configurable tertiary capability,Female,Mexico,2016-02-28 23:10:00,1,North America,Mexico,23:00,Sunday
39.96,45,59886.58,174.88,Secured 24hour policy,Female,Rwanda,2016-03-05 12:03:00,1,Africa,Rwanda,12:00,Saturday
59.22,28,53058.91,217.37,Total directional approach,Female,Liechtenstein,2016-05-30 18:08:00,0,Europe,Liechtenstein,18:00,Monday
47.74,33,68094.85,188.56,Extended context-sensitive monitoring,Male,Vanuatu,2016-04-18 15:54:00,0,Oceania,Vanuatu,15:00,Monday
86.06,35,73889.99,158.29,De-engineered attitude-oriented projection,Male,Bolivia,2016-03-18 13:00:00,0,South America,Bolivia,13:00,Friday
55.6,30,58677.69,184.88,Proactive context-sensitive project,Female,Guinea,2016-05-06 21:07:00,1,Africa,Guinea,21:00,Friday
61.22,25,50506.44,194.95,Automated mobile model,Female,Saint Pierre and Miquelon,2016-01-03 07:13:00,0,North America,Saint Pierre and Miquelon,07:00,Sunday
60.53,33,68094.85,162.03,Synchronized multi-tasking ability,Female,Indonesia,2016-06-10 11:31:00,0,Asia,Indonesia,11:00,Friday
90.97,31,38817.4,171.23,Automated mobile model,Female,Angola,2016-06-10 03:56:00,0,Africa,Angola,03:00,Friday
41.73,28,71222.4,217.37,Centralized logistical secured line,Female,Gabon,2016-02-15 16:52:00,0,Africa,Gabon,16:00,Monday
74.59,27,36884.23,214.42,Business-focused holistic benchmark,Female,Spain,2016-07-03 04:11:00,0,Europe,Spain,04:00,Sunday
47.48,29,57545.56,216.49,Mandatory coherent groupware,Female,Burundi,2016-01-16 16:40:00,0,Africa,Burundi,16:00,Saturday
40.47,35,54429.17,236.87,Optional multi-state hardware,Female,Saint Vincent and the Grenadines,2016-06-21 03:14:00,1,North America,Saint Vincent and the Grenadines,03:00,Tuesday
54.88,21,61009.1,157.04,Function-based context-sensitive secured line,Female,Hungary,2016-01-17 15:10:00,0,Europe,Hungary,15:00,Sunday
82.07,41,57846.68,187.76,Progressive asynchronous adapter,Male,Honduras,2016-05-13 11:57:00,1,North America,Honduras,11:00,Friday
59.22,40,40468.53,140.46,Networked responsive application,Female,Denmark,2016-07-01 01:12:00,1,Europe,Denmark,01:00,Friday
82.07,22,51363.16,180.47,Profit-focused secondary portal,Male,Tajikistan,2016-05-31 23:32:00,0,Asia,Tajikistan,23:00,Tuesday
57.24,33,49101.67,120.75,Compatible composite project,Male,Afghanistan,2016-03-24 06:36:00,1,Asia,Afghanistan,06:00,Thursday
44.33,39,48335.2,258.62,Cloned object-oriented benchmark,Female,Micronesia,2016-03-15 06:54:00,1,Oceania,Micronesia,06:00,Tuesday
41.73,31,59886.58,207.17,Optional full-range projection,Male,French Polynesia,2016-03-30 14:36:00,0,Oceania,France,14:00,Wednesday
71.03,31,40182.84,207.17,Decentralized client-driven data-warehouse,Female,Gabon,2016-01-31 06:14:00,1,Africa,Gabon,06:00,Sunday
89.05,55,38260.89,187.76,Polarized tangible collaboration,Female,Tonga,2016-04-21 09:30:00,1,Oceania,Tonga,09:00,Thursday
55.6,35,73889.99,236.87,Robust uniform framework,Female,Myanmar,2016-06-11 06:47:00,0,Asia,Myanmar,06:00,Saturday
42.04,37,67132.46,139.32,Vision-oriented attitude-oriented Internet solution,Female,Croatia,2016-05-21 01:36:00,0,Europe,Croatia,01:00,Saturday
43.49,37,51691.55,217.37,Streamlined homogeneous analyzer,Female,Australia,2016-06-17 17:11:00,1,Oceania,Australia,17:00,Friday
51.24,36,32549.95,109.07,Operative stable moderator,Male,Algeria,2016-04-27 04:28:00,0,Africa,Algeria,04:00,Wednesday
68.01,33,41547.62,204.02,Customizable tangible hierarchy,Male,Vanuatu,2016-07-09 11:04:00,0,Oceania,Vanuatu,11:00,Saturday
46.61,29,53431.35,227.37,Synchronized multi-tasking ability,Female,Greece,2016-05-12 21:32:00,1,Europe,Greece,21:00,Thursday
82.07,43,52563.22,121.28,Reverse-engineered maximized focus group,Female,Bangladesh,2016-04-17 21:39:00,1,Asia,Bangladesh,21:00,Sunday
63.45,32,57691.95,178.92,Business-focused transitional solution,Male,Latvia,2016-03-31 20:55:00,0,Europe,Latvia,20:00,Thursday
36.56,46,40468.53,229.12,Front-line system-worthy flexibility,Female,Belgium,2016-04-04 08:19:00,1,Europe,Belgium,08:00,Monday
51.56,29,56113.37,208.05,Advanced modular Local Area Network,Female,Burundi,2016-06-19 22:08:00,0,Africa,Burundi,22:00,Sunday
52.84,42,60514.05,199.43,Virtual 5thgeneration neural-net,Male,Czech Republic,2016-02-15 16:52:00,1,Europe,Czech Republic,16:00,Monday
